locId,latitude,longitude
7738,51.71836666666667,20.898
13026,51.36323333333333,20.796266666666668
13574,51.9924,19.9106
8513,50.3219,21.6634
8556,52.0594,21.2523
1125,50.6568,20.1789
5458,51.7445,20.7832
2431,51.2699,18.0712
4132,49.7833,18.9167
8986,52.6167,21.0167
10958,50.4155,23.2198
7151,51.0293,16.5394
1532,51.418350000000004,15.902024999999998
6793,50.0178,21.2033
4108,53.74166363636363,20.490909090909092
5858,52.1115,21.81935
3033,51.38588333333333,17.58591111111111
3974,50.155649999999994,20.735
82,51.993675,19.7593
3918,52.6098,17.320533333333334
315,49.8667,19.6333
2099,54.38165,16.31615
13056,52.4424,18.5084
12414,52.0197,15.735
785,50.7551,16.2049
4292,52.530699999999996,18.267049999999998
6294,50.16954,19.45428
12682,49.5215,21.1374
11218,51.14265,21.76625
11755,54.2738,16.5515
10625,54.1025,23.3493
11680,54.2346,16.053
8028,52.0333,17.1167
10060,54.63203333333333,18.502
2358,52.230466666666665,19.617700000000003
9903,50.685550000000006,22.70085
8440,51.782799999999995,21.3277
3626,52.406040000000004,17.72322
4231,51.43015,21.335625
5410,54.16105,22.4195
10326,51.213074999999996,17.2165
7385,50.4231,21.23522
4211,51.164649999999995,19.6711
2745,49.65873333333334,20.796899999999997
5501,52.2167,16.95
5817,49.776349999999994,22.8298
11214,52.0035,19.2163
5124,52.9833,15.6333
1292,52.7667,22.9667
8021,50.8241,17.7875
6966,53.138699999999986,23.132499999999997
12029,50.334,17.68486
864,53.7799,19.6888
1334,51.242779999999996,21.634220000000006
2097,50.3333,19.1333
5775,51.78616666666667,19.4375
13156,50.25,16.6833
665,49.9647,22.177166666666665
7636,52.0557,21.221
595,49.7303,21.0113
11564,49.8,19.1
5029,53.0216,22.3773
370,52.024525,20.064
3500,52.0481,22.6482
4917,52.460499999999996,15.923933333333332
3037,50.1877,22.5574
10191,51.7818,17.51075
2659,50.71846666666667,16.651516666666666
5440,52.243460000000006,17.67978
12783,51.0667,22.0167
564,49.98186666666666,18.825933333333335
2831,53.6853,20.4564
12727,50.8333,18.4
744,51.8471,17.0745
5550,51.8833,19.2
6488,52.11723333333333,17.7764
5882,53.6624,15.1829
5268,53.312979999999996,17.9473
9677,54.3182,16.4165
11623,52.54925,17.49755
6518,52.413925000000006,17.1182
10571,52.24135,21.0626
7572,49.311449999999994,20.045125000000002
4737,52.49663333333333,16.764300000000002
12772,54.2167,19.2167
14126,50.15,20.0333
1727,53.5666,15.7216
12902,52.5587,17.6513
4217,51.51743333333334,19.4821
781,53.0367,20.2607
6706,54.0421,14.8737
890,50.2291,20.4109
13860,50.219500000000004,20.897966666666665
7914,50.401559999999996,21.084900000000005
3273,49.75,20.8167
8345,50.914959999999994,20.247999999999998
2225,51.584,16.8832
14235,53.2085,18.9469
8664,53.079033333333335,18.65693333333333
11664,54.5,16.9667
7602,50.7127,18.3677
12804,52.5833,16.8
5869,51.734,17.3154
3585,52.108450000000005,20.17305
2638,53.0715,16.8138
1916,53.29749999999999,23.2264
13948,49.9237,22.74
5724,51.56034,20.069580000000002
10903,53.8762,21.5209
12625,49.47964999999999,19.14855
9009,52.5167,21.5333
962,51.3624,15.7318
13446,51.4356,23.1326
31,51.9667,19.8333
10639,54.2662,21.0186
10043,54.1101,23.1387
6331,50.4805,18.1252
9127,51.3767,21.4411
5120,51.0833,22.6667
11315,52.561049999999994,18.6121
4111,53.1905,18.1582
13088,52.1179,19.7842
5920,53.1702,21.6918
5157,53.1344,22.0417
3188,49.747,18.75365
627,53.3065,14.6484
8134,52.65,16.8167
14027,49.6,21.125
